ComponentID,Day,Temperature,Pressure,Vibration,UsageHours,DaysSinceMaintenance,Failure,Maintenance,ComponentHealth
1,1,93.314,43.37,3.956,94,4,1,1,0.943
1,2,78.54,28.875,1.153,104,1,0,0,0.937
1,3,72.23,31.083,1.31,113,2,0,0,0.926
1,4,75.135,34.326,1.27,122,3,0,0,0.91
1,5,73.694,33.101,0.994,130,4,0,0,0.891
1,6,78.723,34.89,1.319,147,5,0,0,0.868
1,7,73.144,33.991,1.346,86,6,1,1,0.971
1,8,79.216,33.593,1.165,103,1,0,0,0.945
1,9,76.538,30.219,1.091,117,2,0,0,0.934
1,10,80.423,34.265,1.422,124,3,0,0,0.911
1,11,77.238,33.249,1.145,139,4,0,0,0.892
1,12,78.038,32.543,1.508,151,5,0,0,0.873
1,13,81.898,32.178,1.306,157,6,0,0,0.862
1,14,71.267,34.413,1.434,163,7,0,0,0.867
1,15,80.202,34.502,1.613,27,8,1,1,0.95
1,16,74.645,31.632,0.793,36,1,0,0,0.94
1,17,78.087,29.764,1.184,77,2,1,1,0.932
1,18,82.063,33.869,1.141,83,1,0,0,0.911
1,19,82.13,30.889,1.039,97,2,0,0,0.904
1,20,76.853,32.254,1.046,106,3,0,0,0.905
1,21,79.572,31.747,1.262,83,4,1,1,0.955
1,22,80.766,35.146,1.248,100,1,0,0,0.943
1,23,79.485,34.53,1.58,114,2,0,0,0.917
1,24,81.357,32.699,1.363,126,3,0,0,0.91
1,25,76.589,31.302,1.462,57,4,1,1,0.943
1,26,75.856,33.688,1.216,72,1,0,0,0.919
1,27,78.815,30.639,1.169,82,2,0,0,0.905
1,28,75.447,35.59,1.297,100,3,0,0,0.895
1,29,90.207,34.159,1.444,106,4,0,0,0.882
1,30,79.903,31.782,1.221,124,5,0,0,0.853
1,31,83.379,34.066,1.33,20,6,1,1,0.953
1,32,83.006,32.858,0.524,37,1,0,0,0.927
1,33,82.023,31.21,0.933,49,2,0,0,0.921
1,34,83.795,34.185,0.666,60,3,0,0,0.923
1,35,83.469,32.341,0.885,70,4,0,0,0.913
1,36,76.894,32.86,1.355,78,5,0,0,0.903
1,37,78.79,34.133,1.141,87,6,0,0,0.892
1,38,78.941,34.511,1.315,105,7,0,0,0.856
1,39,78.777,35.515,1.539,116,8,0,0,0.846
1,40,82.452,35.052,1.25,123,9,0,0,0.828
1,41,79.308,33.267,1.373,130,10,0,0,0.8
1,42,82.164,34.172,1.538,142,11,0,0,0.772
1,43,78.004,36.216,1.616,149,12,0,0,0.746
1,44,79.603,34.333,1.556,44,13,1,1,0.97
1,45,78.657,29.394,0.68,59,1,0,0,0.958
1,46,77.464,32.535,0.884,69,2,0,0,0.948
1,47,83.701,32.79,1.167,87,3,0,0,0.922
1,48,79.574,35.131,1.102,93,4,0,0,0.917
1,49,77.843,35.4,1.34,58,5,1,1,0.935
1,50,76.52,33.06,1.106,72,1,0,0,0.928
1,51,83.573,34.37,1.119,79,2,0,0,0.912
1,52,74.477,35.974,1.052,91,3,0,0,0.9
1,53,80.848,36.497,1.166,98,4,0,0,0.888
1,54,82.557,31.522,1.083,112,5,0,0,0.886
1,55,85.502,34.376,1.419,80,6,1,1,0.976
1,56,84.123,35.013,0.947,46,1,1,1,0.959
1,57,72.582,32.067,0.972,61,1,0,0,0.954
1,58,79.031,34.432,0.968,70,2,0,0,0.942
1,59,81.675,33.952,0.959,87,3,0,0,0.935
1,60,78.576,32.423,0.884,94,4,0,0,0.936
1,61,76.563,37.451,1.148,100,5,0,0,0.933
1,62,83.346,32.686,1.179,116,6,0,0,0.91
1,63,85.195,37.407,1.145,125,7,0,0,0.912
1,64,86.379,29.66,1.348,37,8,1,1,0.921
1,65,77.646,32.939,1.087,29,1,1,1,0.959
1,66,77.057,35.451,0.738,36,1,0,0,0.944
1,67,80.464,31.241,0.894,48,2,0,0,0.944
1,68,71.62,34.136,0.971,58,3,0,0,0.94
1,69,76.724,33.302,1.154,71,4,0,0,0.919
1,70,81.135,28.031,1.052,87,5,0,0,0.893
1,71,77.094,32.484,1.131,98,6,0,0,0.879
1,72,79.232,35.505,1.445,106,7,0,0,0.871
1,73,80.895,35.023,1.222,117,8,0,0,0.849
1,74,80.152,35.733,1.222,128,9,0,0,0.834
1,75,81.369,37.219,1.4,137,10,0,0,0.81
1,76,78.174,35.216,1.41,153,11,0,0,0.797
1,77,86.678,36.076,1.467,163,12,0,0,0.795
1,78,80.742,34.257,1.903,180,13,0,0,0.748
1,79,81.688,35.395,1.81,196,14,0,0,0.726
1,80,80.303,37.22,1.688,212,15,0,0,0.71
1,81,85.37,37.431,1.6,77,16,1,1,0.993
1,82,85.687,34.679,1.035,93,1,0,0,0.974
1,83,79.188,31.761,1.137,101,2,0,0,0.948
1,84,84.505,32.942,1.418,115,3,0,0,0.921
1,85,86.905,33.985,1.101,132,4,0,0,0.903
1,86,85.466,31.026,1.305,20,5,1,1,0.909
1,87,79.466,31.203,0.772,33,1,0,0,0.894
1,88,79.363,31.776,0.877,45,2,0,0,0.873
1,89,76.001,30.685,1.006,55,3,0,0,0.881
1,90,76.959,36.916,1.209,71,4,0,0,0.864
1,91,80.521,34.819,0.978,88,5,0,0,0.842
1,92,80.329,36.465,1.075,102,6,0,0,0.826
1,93,86.957,31.832,1.217,111,7,0,0,0.83
1,94,75.914,38.039,1.28,41,8,1,1,0.949
1,95,80.057,32.252,0.898,59,1,0,0,0.927
1,96,76.292,33.549,0.876,77,2,0,0,0.924
1,97,83.331,36.827,1.291,83,3,0,0,0.913
1,98,79.595,34.066,0.832,92,4,0,0,0.914
1,99,83.966,31.884,1.501,98,5,0,0,0.915
1,100,83.278,31.173,1.299,116,6,0,0,0.89
1,101,87.16,33.218,1.496,127,7,0,0,0.875
1,102,76.961,37.028,1.26,139,8,0,0,0.864
1,103,85.88,36.664,1.537,149,9,0,0,0.843
1,104,85.266,35.385,1.445,156,10,0,0,0.847
1,105,83.228,37.213,1.474,72,11,1,1,0.97
1,106,83.985,31.646,1.04,89,1,0,0,0.955
1,107,81.483,31.013,1.23,100,2,0,0,0.933
1,108,79.387,36.736,1.628,109,3,0,0,0.922
1,109,76.131,32.49,1.298,125,4,0,0,0.919
1,110,81.71,34.979,1.656,138,5,0,0,0.91
1,111,79.741,39.403,1.333,150,6,0,0,0.896
1,112,80.985,34.092,1.461,166,7,0,0,0.859
1,113,79.765,37.086,1.793,179,8,0,0,0.844
1,114,88.184,39.261,1.456,187,9,0,0,0.835
1,115,87.165,34.219,1.744,197,10,0,0,0.813
1,116,82.575,36.519,1.816,205,11,0,0,0.812
1,117,81.112,33.045,1.86,214,12,0,0,0.783
1,118,87.582,37.748,2.117,231,13,0,0,0.755
1,119,83.094,35.675,2.05,68,14,1,1,0.962
1,120,79.566,33.246,1.23,78,1,0,0,0.946
1,121,84.804,33.265,1.07,95,2,0,0,0.924
1,122,80.018,32.989,1.243,110,3,0,0,0.904
1,123,82.072,37.18,1.224,122,4,0,0,0.895
1,124,77.844,34.089,1.535,51,5,1,1,0.965
1,125,75.307,32.402,0.944,62,1,0,0,0.955
1,126,78.383,33.579,0.849,71,2,0,0,0.928
1,127,78.672,34.469,1.246,65,3,1,1,0.992
1,128,82.747,33.827,0.949,78,1,0,0,0.971
1,129,74.907,33.245,1.001,85,2,0,0,0.963
1,130,79.241,31.995,1.565,103,3,0,0,0.948
1,131,79.737,33.459,1.096,14,4,1,1,0.952
1,132,76.553,30.388,0.655,22,1,0,0,0.934
1,133,76.451,32.641,0.732,38,2,0,0,0.92
1,134,81.186,31.198,1.173,46,3,0,0,0.906
1,135,79.223,30.596,0.82,64,4,0,0,0.888
1,136,79.3,33.289,1.261,54,5,1,1,0.946
1,137,80.396,31.634,1.234,8,1,1,1,0.958
1,138,81.807,30.577,0.964,20,1,0,0,0.959
1,139,77.701,32.842,0.515,32,2,0,0,0.937
1,140,76.027,30.785,0.976,47,3,0,0,0.911
1,141,78.679,30.033,0.945,60,4,0,0,0.917
1,142,77.009,33.341,1.093,32,5,1,1,0.952
1,143,75.895,28.871,0.901,46,1,0,0,0.926
1,144,80.11,34.57,1.164,52,2,0,0,0.91
1,145,77.474,32.324,0.986,92,3,1,1,0.993
1,146,78.705,28.79,1.232,99,1,0,0,0.985
1,147,80.138,31.231,1.359,115,2,0,0,0.975
1,148,81.938,34.382,1.251,129,3,0,0,0.965
1,149,80.085,34.168,1.498,147,4,0,0,0.947
1,150,81.118,32.496,1.313,157,5,0,0,0.927
1,151,81.885,31.051,1.481,175,6,0,0,0.899
1,152,80.908,35.042,1.542,191,7,0,0,0.872
1,153,86.307,31.897,1.727,202,8,0,0,0.865
1,154,79.75,39.635,1.94,209,9,0,0,0.859
1,155,77.461,38.204,1.412,219,10,0,0,0.855
1,156,84.749,36.162,1.935,231,11,0,0,0.829
1,157,79.855,34.031,1.829,239,12,0,0,0.814
1,158,80.122,37.926,1.726,252,13,0,0,0.8
1,159,84.019,36.55,1.889,92,14,1,1,0.995
1,160,81.376,33.358,1.213,109,1,0,0,0.977
1,161,75.897,31.32,1.364,119,2,0,0,0.977
1,162,85.129,30.617,1.404,133,3,0,0,0.948
1,163,78.59,35.414,1.738,151,4,0,0,0.926
1,164,80.421,32.062,1.154,159,5,0,0,0.928
1,165,84.52,33.167,1.582,173,6,0,0,0.904
1,166,77.491,34.102,1.505,180,7,0,0,0.903
1,167,81.295,36.782,1.484,38,8,1,1,0.996
1,168,77.087,29.397,0.963,54,1,0,0,0.974
1,169,72.311,30.506,0.756,68,2,0,0,0.944
1,170,77.025,31.299,1.156,83,3,0,0,0.918
1,171,73.971,30.658,1.01,92,4,0,0,0.917
1,172,78.053,37.234,1.158,100,5,0,0,0.899
1,173,80.685,33.603,1.4,111,6,0,0,0.888
1,174,77.829,32.836,1.44,129,7,0,0,0.868
1,175,77.186,31.791,1.531,137,8,0,0,0.83
1,176,78.693,34.459,1.454,151,9,0,0,0.81
1,177,76.735,34.888,1.447,169,10,0,0,0.782
1,178,80.02,33.454,1.549,0,11,1,1,1.0
1,179,76.915,31.97,0.563,15,1,0,0,0.978
1,180,72.177,27.981,0.936,26,2,0,0,0.956
1,181,66.279,29.486,0.918,2,3,1,1,0.998
1,182,69.876,29.758,0.414,9,1,0,0,0.988
1,183,70.491,29.685,1.049,20,2,0,0,0.979
1,184,77.052,28.13,0.586,38,3,0,0,0.974
1,185,72.194,32.125,1.014,48,4,0,0,0.939
1,186,74.601,34.314,0.905,57,5,0,0,0.912
1,187,71.495,33.345,0.762,63,6,0,0,0.915
1,188,72.342,32.905,1.161,72,7,0,0,0.897
1,189,76.889,32.424,1.461,87,8,0,0,0.863
1,190,77.689,32.87,0.926,94,9,0,0,0.842
1,191,69.688,35.908,1.045,101,10,0,0,0.839
1,192,77.031,32.697,1.445,118,11,0,0,0.818
1,193,80.079,32.834,1.167,131,12,0,0,0.791
